"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1",0,"eyes","body","predicate1","small",0.21,"size"
"2",0,"thing","thing","predicate1","brown",0.62,"color"
"3",0,"eyes","body","predicate1","wooden",0.79,"material"
"4",0,"eyes","body","predicate1","small",0.44,"size"
"5",0,"hair","body","predicate1","plastic",0.73,"material"
"6",0,"hair","body","predicate1","small",0.6,"size"
"7",0,"eyes","body","predicate1","plastic",0.48,"material"
"8",0,"hair","body","predicate1","metal",0.86,"material"
"9",0,"apple","food","predicate1","wooden",0.38,"material"
"10",0,"apple","food","predicate1","purple",0.72,"color"
"11",0,"eyes","body","predicate1","tiny",0.75,"size"
"12",0,"thing","thing","predicate1","bad",0.52,"quality"
"13",0,"apple","food","predicate1","tiny",0.68,"size"
"14",0,"hair","body","predicate1","purple",0.42,"color"
"15",0,"eyes","body","predicate1","blue",0.57,"color"
"16",0,"cheese","food","predicate1","smooth",0.45,"texture"
"17",0,"cheese","food","predicate1","brown",0.63,"color"
"18",0,"apple","food","predicate1","blue",0.44,"color"
"19",0,"hair","body","predicate1","good",0.42,"quality"
"20",0,"hair","body","predicate1","short",0.68,"size"
"21",0,"eyes","body","predicate1","soft",0.58,"texture"
"22",0,"cheese","food","predicate1","small",0.65,"size"
"23",0,"eyes","body","predicate1","fresh",0.5,"age"
"24",0,"apple","food","predicate1","plastic",0.63,"material"
"25",0,"hair","body","predicate1","fresh",0.63,"age"
"26",0,"thing","thing","predicate1","huge",0.44,"size"
"27",1,"thing","thing","predicate1","hard",0.03,"texture"
"28",1,"thing","thing","predicate1","old",0.03,"age"
"29",1,"hair","body","predicate1","square",0.96,"shape"
"30",1,"hair","body","predicate1","good",0.96,"quality"
"31",1,"cheese","food","predicate1","rotten",0.03,"age"
"32",1,"thing","thing","predicate1","hard",0.97,"texture"
"33",1,"hair","body","predicate1","fresh",0.05,"age"
"34",1,"thing","thing","predicate1","rotten",0.98,"age"
"35",1,"cheese","food","predicate1","small",0.97,"size"
