"","workerid","noun","nounclass","slide_number","sense","predicate2","predicate1","class2","response","class1","makes_sense","triple"
"1",0,"money","X",3,"no","corduroy","biggest","material",0.48,"dimension","no","biggest corduroy money"
"31",1,"money","X",3,"no","lavish","narrow","value",0.46,"dimension","no","narrow lavish money"
"35",1,"satire","X",7,"no","wooden","green","material",0.56,"color","no","green wooden satire"
"40",1,"letter","X",12,"no","prestigious","creamy","value",0.54,"physical","no","creamy prestigious letter"
"51",1,"being","X",23,"no","curly","Vietnamese","physical",0.52,"nationality","no","Vietnamese curly being"
"53",1,"snake","X",25,"no","lacy","junior","physical",0.5,"age","no","junior lacy snake"
"76",2,"book","X",18,"no","creamy","red","physical",0.33,"color","no","red creamy book"
"79",2,"behavior","X",21,"no","closest","strict","location",0.42,"human","no","strict closest behavior"
"81",2,"shrimp","X",23,"no","creamy","purple","physical",0.32,"color","no","purple creamy shrimp"
"85",2,"enemy","X",27,"no","professional","red","human",0.69,"color","no","red professional enemy"
"87",2,"sauce","X",29,"no","selfish","old-time","human",0.61,"age","no","old-time selfish sauce"
"103",3,"sound","X",15,"no","fast","gold","speed",0.51,"material","no","gold fast sound"
"109",3,"background","X",21,"no","strange","entrepreneurial","value",0.54,"human","no","entrepreneurial strange background"
"123",4,"code","X",5,"no","frozen","purple","physical",0.49,"color","no","purple frozen code"
"125",4,"resort","X",7,"no","fast","young","speed",0.67,"age","no","young fast resort"
"128",4,"wind","X",10,"no","current","national","temporal",0.12,"nationality","no","national current wind"
"130",4,"point","X",12,"no","Japanese","gold","nationality",0.19,"material","no","gold Japanese point"
"134",4,"source","X",16,"no","strange","junior","value",0.14,"age","no","junior strange source"
"135",4,"party","X",17,"no","creamy","thin","physical",0.53,"dimension","no","thin creamy party"
"136",4,"opinion","X",18,"no","internal","blonde","location",0.48,"color","no","blonde internal opinion"
"137",4,"offender","X",19,"no","professional","blue","human",0.49,"color","no","blue professional offender"
"138",4,"type","X",20,"no","circular","spicy","shape",0.56,"physical","no","spicy circular type"
"139",4,"trunk","X",21,"no","daily","European","temporal",0.46,"nationality","no","European daily trunk"
"141",4,"room","X",23,"no","crocheted","civilized","material",0.51,"human","no","civilized crocheted room"
"142",4,"autobiography","X",24,"no","token","green","X",0.54,"color","no","green token autobiography"
"145",4,"banking","X",27,"no","square","Brazilian","shape",0.45,"nationality","no","Brazilian square banking"
"147",4,"number","X",29,"no","speedy","red","speed",0.2,"color","no","red speedy number"
"149",4,"luck","X",31,"no","lacy","Brazilian","physical",0.15,"nationality","no","Brazilian lacy luck"
"151",5,"sauce","X",3,"no","solid","sad","physical",0.19,"human","no","sad solid sauce"
"152",5,"situation","X",4,"no","playful","black","human",0.13,"color","no","black playful situation"
"153",5,"book","X",5,"no","square","young","shape",0.17,"age","no","young square book"
"172",5,"trash","X",24,"no","speedy","spicy","speed",0.85,"physical","no","spicy speedy trash"
"176",5,"city","X",28,"no","smooth","selfish","physical",0.82,"human","no","selfish smooth city"
"177",5,"system","X",29,"no","slow","sad","speed",0.84,"human","no","sad slow system"
"178",5,"day","X",30,"no","crocheted","thin","material",0.85,"dimension","no","thin crocheted day"
"179",5,"trunk","X",31,"no","spicy","new","physical",0.12,"age","no","new spicy trunk"
"181",6,"strip","X",3,"no","strict","blue","human",0.08,"color","no","blue strict strip"
"185",6,"banking","X",7,"no","creamy","purple","physical",0.01,"color","no","purple creamy banking"
"191",6,"pet","X",13,"no","daily","fast","temporal",1,"speed","no","fast daily pet"
"195",6,"sauce","X",17,"no","designated","creative","X",0.89,"human","no","creative designated sauce"
"198",6,"letter","X",20,"no","strange","speedy","value",0.06,"speed","no","speedy strange letter"
"201",6,"line","X",23,"no","strange","old-time","value",0.95,"age","no","old-time strange line"
"203",6,"world","X",25,"no","plain","junior","value",0.87,"age","no","junior plain world"
"210",6,"wind","X",32,"no","potential","red","X",0.08,"color","no","red potential wind"
"211",7,"issue","X",3,"no","potential","lavish","X",0.47,"value","no","lavish potential issue"
"281",9,"recipe","X",13,"no","individual","wooden","X",0,"material","no","wooden individual recipe"
"302",10,"perspective","X",4,"no","creamy","biggest","physical",0.52,"dimension","no","biggest creamy perspective"
"307",10,"child","X",9,"no","token","crocheted","X",0.58,"material","no","crocheted token child"
"321",10,"boy","X",23,"no","frozen","red","physical",0.49,"color","no","red frozen boy"
"323",10,"college","X",25,"no","lacy","overhead","physical",0.5,"location","no","overhead lacy college"
"325",10,"child","X",27,"no","national","long","nationality",0.53,"dimension","no","long national child"
"337",11,"style","X",9,"no","last","strict","X",0.52,"human","no","strict last style"
"361",12,"child","X",3,"no","last","playful","X",0.02,"human","no","playful last child"
"371",12,"color","X",13,"no","closest","sad","location",0.94,"human","no","sad closest color"
"379",12,"book","X",21,"no","Vietnamese","blonde","nationality",1,"color","no","blonde Vietnamese book"
"380",12,"factor","X",22,"no","crocheted","junior","material",0.01,"age","no","junior crocheted factor"
"382",12,"wood","X",24,"no","entrepreneurial","yellow","human",0.05,"color","no","yellow entrepreneurial wood"
"383",12,"conscience","X",25,"no","circular","corduroy","shape",0.01,"material","no","corduroy circular conscience"
"391",13,"reason","X",3,"no","best","frozen","value",0,"physical","no","frozen best reason"
"393",13,"death","X",5,"no","gold","mini","material",0.9,"dimension","no","mini gold death"
"395",13,"wind","X",7,"no","strange","historical","value",0.12,"temporal","no","historical strange wind"
"396",13,"engine","X",8,"no","strict","new","human",0.91,"age","no","new strict engine"
"397",13,"power","X",9,"no","sweet","strict","physical",0.11,"human","no","strict sweet power"
"407",13,"teller","X",19,"no","English","open","nationality",0.96,"dimension","no","open English teller"
"413",13,"parent","X",25,"no","daily","yellow","temporal",0.93,"color","no","yellow daily parent"
"417",13,"grandchild","X",29,"no","daily","black","temporal",0.04,"color","no","black daily grandchild"
"421",14,"time","X",3,"no","best","spicy","value",0.27,"physical","no","spicy best time"
"424",14,"slant","X",6,"no","curly","creative","physical",0.8,"human","no","creative curly slant"
"425",14,"baby","X",7,"no","designated","slow","X",0.84,"speed","no","slow designated baby"
"428",14,"can","X",10,"no","strict","senior","human",0.14,"age","no","senior strict can"
"433",14,"driveway","X",15,"no","thin","blonde","dimension",0.23,"color","no","blonde thin driveway"
"434",14,"country","X",16,"no","prestigious","overhead","value",0.51,"location","no","overhead prestigious country"
"435",14,"actor","X",17,"no","mixed","senior","X",0.45,"age","no","senior mixed actor"
"436",14,"ride","X",18,"no","fast","lacy","speed",0.29,"physical","no","lacy fast ride"
"437",14,"benefit","X",19,"no","Hispanic","yellow","nationality",0.42,"color","no","yellow Hispanic benefit"
"439",14,"weather","X",21,"no","square","old","shape",0.68,"age","no","old square weather"
"440",14,"opinion","X",22,"no","Japanese","purple","nationality",0.58,"color","no","purple Japanese opinion"
"442",14,"bearing","X",24,"no","exciting","senior","value",0.23,"age","no","senior exciting bearing"
"447",14,"grandfather","X",29,"no","mixed","crocheted","X",0.21,"material","no","crocheted mixed grandfather"
"469",15,"voice","X",21,"no","current","thick","temporal",0.07,"dimension","no","thick current voice"
"481",16,"farm","X",3,"no","best","square","value",0.16,"shape","no","square best farm"
"485",16,"one","X",7,"no","prestigious","curly","value",0.33,"physical","no","curly prestigious one"
"487",16,"environment","X",9,"no","fast","sweet","speed",0.84,"physical","no","sweet fast environment"
"491",16,"time","X",13,"no","best","fast","value",0.24,"speed","no","fast best time"
"492",16,"dog","X",14,"no","designated","playful","X",0.22,"human","no","playful designated dog"
"495",16,"ski","X",17,"no","unique","national","X",0.49,"nationality","no","national unique ski"
"497",16,"puppy","X",19,"no","creative","biggest","human",0.79,"dimension","no","biggest creative puppy"
"498",16,"vitamin","X",20,"no","potential","square","X",0.16,"shape","no","square potential vitamin"
"499",16,"sauce","X",21,"no","mini","old","dimension",0.78,"age","no","old mini sauce"
"500",16,"pan","X",22,"no","potential","closest","X",0.85,"location","no","closest potential pan"
"501",16,"banking","X",23,"no","lacy","Brazilian","physical",0.56,"nationality","no","Brazilian lacy banking"
"504",16,"meat","X",26,"no","current","selfish","temporal",0.19,"human","no","selfish current meat"
"505",16,"word","X",27,"no","fast","junior","speed",0.22,"age","no","junior fast word"
"508",16,"casserole","X",30,"no","curly","red","physical",0.16,"color","no","red curly casserole"
"510",16,"list","X",32,"no","selfish","thick","human",0.82,"dimension","no","thick selfish list"
"511",17,"goal","X",3,"no","last","thick","X",0.26,"dimension","no","thick last goal"
"515",17,"hair","X",7,"no","fast","crocheted","speed",0.09,"material","no","crocheted fast hair"
"519",17,"boy","X",11,"no","last","circular","X",0.09,"shape","no","circular last boy"
"520",17,"crime","X",12,"no","square","overhead","shape",0.06,"location","no","overhead square crime"
"531",17,"snake","X",23,"no","mixed","wooden","X",0.15,"material","no","wooden mixed snake"
"532",17,"opinion","X",24,"no","crocheted","senior","material",0,"age","no","senior crocheted opinion"
"571",19,"luck","X",3,"no","wooden","blonde","material",0.95,"color","no","blonde wooden luck"
"635",21,"banking","X",7,"no","Vietnamese","corduroy","nationality",0,"material","no","corduroy Vietnamese banking"
"647",21,"luck","X",19,"no","potential","lavish","X",0.99,"value","no","lavish potential luck"
"649",21,"reason","X",21,"no","closest","blue","location",0.99,"color","no","blue closest reason"
"656",21,"shell","X",28,"no","mixed","sad","X",1,"human","no","sad mixed shell"
"659",21,"plate","X",31,"no","lacy","blonde","physical",1,"color","no","blonde lacy plate"
"666",22,"field","X",8,"no","favorite","corduroy","value",0.27,"material","no","corduroy favorite field"
"676",22,"lifestyle","X",18,"no","lacy","closest","physical",0.14,"location","no","closest lacy lifestyle"
"683",22,"voice","X",25,"no","last","new","X",0.54,"age","no","new last voice"
"687",22,"trash","X",29,"no","circular","old","shape",0.77,"age","no","old circular trash"
"692",23,"weather","X",4,"no","spicy","yellow","physical",0.45,"color","no","yellow spicy weather"
"697",23,"dough","X",9,"no","international","crocheted","nationality",0.48,"material","no","crocheted international dough"
"713",23,"typewriter","X",25,"no","lacy","blonde","physical",0.49,"color","no","blonde lacy typewriter"
"718",23,"report","X",30,"no","creamy","international","physical",0.48,"nationality","no","international creamy report"
"721",24,"hair","X",3,"no","spicy","internal","physical",0.9,"location","no","internal spicy hair"
"738",24,"autobiography","X",20,"no","speedy","creamy","speed",0.91,"physical","no","creamy speedy autobiography"
"751",25,"valley","X",3,"no","entrepreneurial","thin","human",0.66,"dimension","no","thin entrepreneurial valley"
"752",25,"country","X",4,"no","last","playful","X",0.47,"human","no","playful last country"
"753",25,"number","X",5,"no","sweet","selfish","physical",0.59,"human","no","selfish sweet number"
"754",25,"snake","X",6,"no","slow","black","speed",0.5,"color","no","black slow snake"
"755",25,"field","X",7,"no","strange","thick","value",0.58,"dimension","no","thick strange field"
"756",25,"factor","X",8,"no","strange","civilized","value",0.55,"human","no","civilized strange factor"
"758",25,"autobiography","X",10,"no","token","crocheted","X",0.59,"material","no","crocheted token autobiography"
"763",25,"form","X",15,"no","Vietnamese","blonde","nationality",0.63,"color","no","blonde Vietnamese form"
"765",25,"computer","X",17,"no","circular","Japanese","shape",0.57,"nationality","no","Japanese circular computer"
"768",25,"hand","X",20,"no","Vietnamese","crocheted","nationality",0.6,"material","no","crocheted Vietnamese hand"
"769",25,"nation","X",21,"no","Japanese","large","nationality",0.62,"dimension","no","large Japanese nation"
"770",25,"situation","X",22,"no","square","European","shape",0.63,"nationality","no","European square situation"
"771",25,"policy","X",23,"no","Japanese","narrow","nationality",0.79,"dimension","no","narrow Japanese policy"
"772",25,"value","X",24,"no","prestigious","yellow","value",0.74,"color","no","yellow prestigious value"
"773",25,"town","X",25,"no","potential","white","X",0.87,"color","no","white potential town"
"774",25,"suit","X",26,"no","best","lacy","value",0.67,"physical","no","lacy best suit"
"775",25,"music","X",27,"no","daily","thick","temporal",0.73,"dimension","no","thick daily music"
"776",25,"decision","X",28,"no","slow","playful","speed",0.59,"human","no","playful slow decision"
"777",25,"environment","X",29,"no","spicy","Brazilian","physical",0.6,"nationality","no","Brazilian spicy environment"
"778",25,"school","X",30,"no","pleasant","open","value",0.76,"dimension","no","open pleasant school"
"779",25,"dog","X",31,"no","open","junior","dimension",0.65,"age","no","junior open dog"
"780",25,"wind","X",32,"no","square","green","shape",0.69,"color","no","green square wind"
"781",26,"number","X",3,"no","favorite","speedy","value",0.52,"speed","no","speedy favorite number"
"783",26,"change","X",5,"no","overhead","blonde","location",0.51,"color","no","blonde overhead change"
"800",26,"feeling","X",22,"no","lacy","junior","physical",0.5,"age","no","junior lacy feeling"
"813",27,"time","X",5,"no","gold","strict","material",0.48,"human","no","strict gold time"
"819",27,"banking","X",11,"no","purple","junior","color",0.49,"age","no","junior purple banking"
"826",27,"banking","X",18,"no","selfish","black","human",0.4,"color","no","black selfish banking"
"828",27,"sense","X",20,"no","corduroy","selfish","material",0.5,"human","no","selfish corduroy sense"
"852",28,"college","X",14,"no","mixed","sad","X",0.99,"human","no","sad mixed college"
"855",28,"luck","X",17,"no","favorite","spicy","value",0.06,"physical","no","spicy favorite luck"
"856",28,"decision","X",18,"no","spicy","European","physical",0.08,"nationality","no","European spicy decision"
"860",28,"can","X",22,"no","Hispanic","white","nationality",1,"color","no","white Hispanic can"
"862",28,"time","X",24,"no","square","blonde","shape",1,"color","no","blonde square time"
"871",29,"town","X",3,"no","individual","lacy","X",0.58,"physical","no","lacy individual town"
"872",29,"benefit","X",4,"no","European","selfish","nationality",0.42,"human","no","selfish European benefit"
"876",29,"can","X",8,"no","last","internal","X",0.35,"location","no","internal last can"
"901",30,"joke","X",3,"no","European","large","nationality",0.49,"dimension","no","large European joke"
"902",30,"room","X",4,"no","pleasant","selfish","value",0.48,"human","no","selfish pleasant room"
