workerid,class,predicate,slide_number,response
0,location,internal,3,0.84
0,X,mixed,4,0.72
0,shape,circular,5,0.52
0,age,old,6,0.34
0,color,blonde,7,0.21
0,value,best,8,0.76
0,value,favorite,9,0.69
0,physical,curly,10,0.38
0,nationality,English,11,0.77
0,temporal,daily,12,0.67
0,X,potential,13,0.49
0,value,prestigious,14,0.72
0,dimension,large,15,0.7
0,X,individual,16,0.8
0,physical,lacy,17,0.74
0,material,corduroy,18,0.56
0,human,civilized,19,0.73
0,value,strange,20,0.66
0,human,professional,21,0.68
0,temporal,current,22,0.72
0,human,playful,23,0.68
0,color,purple,24,0.63
0,location,overhead,25,0.75
0,color,red,26,0.49
0,location,closest,27,0.48
0,dimension,biggest,28,0.49
0,speed,speedy,29,0.46
0,X,token,30,0.65
0,value,pleasant,31,0.63
0,shape,square,32,0.44
1,dimension,mini,3,0.91
1,value,best,4,0.89
1,temporal,daily,5,0
1,value,plain,6,0.91
1,color,yellow,7,0
1,value,favorite,8,1
1,value,pleasant,9,0.65
1,material,wooden,10,0
1,dimension,biggest,11,0
1,value,strange,12,0.98
1,human,entrepreneurial,13,0
1,location,internal,14,0.11
1,human,creative,15,0.72
1,value,lavish,16,0.75
1,speed,slow,17,0.1
1,X,individual,18,0.33
1,X,last,19,0
1,nationality,Vietnamese,20,0
1,speed,fast,21,0.01
1,age,senior,22,0
1,age,old-time,23,0.26
1,human,strict,24,0.79
1,age,junior,25,0.79
1,color,blue,26,0
1,physical,lacy,27,0.18
1,age,young,28,0.6
1,color,green,29,0
1,location,closest,30,0
1,speed,speedy,31,0.17
1,material,gold,32,0
2,temporal,current,3,0.79
2,age,junior,4,0.68
2,X,different,5,0.86
2,dimension,long,6,0.55
2,shape,circular,7,0.92
2,dimension,biggest,8,0.72
2,value,exciting,9,0.81
2,physical,frozen,10,0.48
2,human,strict,11,0.71
2,physical,sweet,12,0.99
2,physical,spicy,13,0.83
2,human,sad,14,0.58
2,value,pleasant,15,0.75
2,physical,lacy,16,0.81
2,nationality,European,17,0.19
2,age,old-time,18,0.42
2,material,gold,19,0.37
2,nationality,Hispanic,20,0.5
2,X,unique,21,0.76
2,human,professional,22,0.74
2,location,closest,23,0.74
2,speed,speedy,24,0.84
2,value,plain,25,0.93
2,physical,curly,26,0.73
2,nationality,Japanese,27,0.34
2,location,internal,28,0.55
2,value,prestigious,29,0.86
2,human,playful,30,0.65
2,color,yellow,31,0.62
2,location,overhead,32,0.69
3,material,gold,3,0.24
3,value,prestigious,4,0.13
3,human,playful,5,0.55
3,X,different,6,0.51
3,dimension,thick,7,0.41
3,location,internal,8,0.29
3,value,lavish,9,0.34
3,X,potential,10,0.56
3,dimension,long,11,0.65
3,X,token,12,0.47
3,physical,frozen,13,0.1
3,human,selfish,14,0.59
3,age,new,15,0.34
3,temporal,daily,16,0.04
3,human,professional,17,0.36
3,shape,circular,18,0.31
3,age,old,19,0.41
3,nationality,European,20,0.14
3,age,junior,21,0.51
3,human,civilized,22,0.56
3,location,closest,23,0.71
3,X,last,24,0.28
3,color,white,25,0.17
3,nationality,Brazilian,26,0.11
3,age,young,27,0.52
3,material,corduroy,28,0.34
3,speed,slow,29,0.67
3,nationality,national,30,0.24
3,physical,curly,31,0.21
3,color,green,32,0.04
4,dimension,narrow,3,0.13
4,X,individual,4,0
4,material,corduroy,5,0
4,human,selfish,6,0.29
4,speed,speedy,7,0.36
4,human,entrepreneurial,8,0.5
4,age,junior,9,0.07
4,nationality,Japanese,10,0
4,human,civilized,11,0.6
4,age,old,12,0.56
4,human,creative,13,0.83
4,X,designated,14,0.13
4,human,professional,15,0.54
4,age,young,16,0.22
4,temporal,historical,17,0.07
4,X,different,18,0.06
4,age,senior,19,0.4
4,dimension,mini,20,0.5
4,location,closest,21,0
4,nationality,English,22,0.07
