workerid,predicate,noun,class,nounclass,slide_number,response,condition
0,hard,apple,texture,food,3,0.96,inherent
0,short,fan,size,furniture,4,0.04,inherent
0,round,fan,shape,furniture,5,0.95,inherent
0,purple,TV,color,furniture,6,0.05,inherent
0,good,couch,quality,furniture,7,0.95,inherent
0,brown,chair,color,furniture,8,0.96,inherent
0,metal,banana,material,food,9,0.96,inherent
0,new,desk,age,furniture,10,0.98,inherent
0,tiny,carrot,size,food,11,0.95,inherent
0,square,banana,shape,food,12,0.95,inherent
0,soft,cheese,texture,food,13,0.04,inherent
0,plastic,desk,material,furniture,14,0.97,inherent
0,huge,fan,size,furniture,15,0.04,inherent
0,long,cheese,size,food,16,0.96,inherent
0,wooden,chair,material,furniture,17,0.1,inherent
0,fresh,carrot,age,food,18,0.07,inherent
0,green,cheese,color,food,19,0.99,inherent
0,bad,tomato,quality,food,20,0.91,inherent
0,yellow,tomato,color,food,21,0.05,inherent
0,smooth,banana,texture,food,22,0.03,inherent
0,blue,apple,color,food,23,0.94,inherent
0,old,tomato,age,food,24,0.96,inherent
0,red,TV,color,furniture,25,0.01,inherent
0,rotten,cheese,age,food,26,0.09,inherent
0,big,couch,size,furniture,27,0.08,inherent
0,small,banana,size,food,28,0.12,inherent
1,hard,TV,texture,furniture,3,0.83,subjective
1,soft,tomato,texture,food,4,0.43,subjective
1,huge,tomato,size,food,5,0.7,subjective
1,brown,chair,color,furniture,6,0.2,subjective
1,blue,banana,color,food,7,0.82,subjective
1,bad,carrot,quality,food,8,0.73,subjective
1,new,chair,age,furniture,9,0.65,subjective
1,fresh,TV,age,furniture,10,0.91,subjective
1,smooth,carrot,texture,food,11,0.23,subjective
1,good,chair,quality,furniture,12,0.84,subjective
1,plastic,carrot,material,food,13,0.57,subjective
1,purple,couch,color,furniture,14,0.1,subjective
1,rotten,couch,age,furniture,15,0.93,subjective
1,yellow,desk,color,furniture,16,0.1,subjective
1,round,desk,shape,furniture,17,0.23,subjective
1,small,couch,size,furniture,18,0.9,subjective
1,big,cheese,size,food,19,0.78,subjective
1,green,couch,color,furniture,20,0.17,subjective
1,wooden,fan,material,furniture,21,0.22,subjective
1,long,desk,size,furniture,22,0.91,subjective
1,metal,cheese,material,food,23,0.15,subjective
1,short,banana,size,food,24,0.78,subjective
1,tiny,desk,size,furniture,25,0.81,subjective
1,square,chair,shape,furniture,26,0.22,subjective
1,old,TV,age,furniture,27,0.77,subjective
1,red,desk,color,furniture,28,0.13,subjective
2,big,carrot,size,food,3,0.13,inherent
2,good,carrot,quality,food,4,0.08,inherent
2,fresh,banana,age,food,5,0.66,inherent
2,bad,cheese,quality,food,6,0.91,inherent
2,round,fan,shape,furniture,7,0.14,inherent
2,old,chair,age,furniture,8,0.57,inherent
2,short,chair,size,furniture,9,0.63,inherent
2,blue,cheese,color,food,10,0.88,inherent
2,new,tomato,age,food,11,0.37,inherent
2,metal,carrot,material,food,12,0.65,inherent
2,soft,banana,texture,food,13,0.46,inherent
2,purple,desk,color,furniture,14,0.67,inherent
2,red,apple,color,food,15,0.36,inherent
2,square,fan,shape,furniture,16,0.2,inherent
2,tiny,chair,size,furniture,17,0.72,inherent
2,plastic,fan,material,furniture,18,0.27,inherent
2,brown,fan,color,furniture,19,0.04,inherent
2,green,couch,color,furniture,20,0.69,inherent
2,hard,desk,texture,furniture,21,0.23,inherent
2,yellow,chair,color,furniture,22,0.66,inherent
2,small,tomato,size,food,23,0.61,inherent
2,smooth,TV,texture,furniture,24,0.1,inherent
2,rotten,banana,age,food,25,0.72,inherent
2,huge,TV,size,furniture,26,0.59,inherent
2,long,fan,size,furniture,27,0.19,inherent
2,wooden,tomato,material,food,28,0.78,inherent
3,good,chair,quality,furniture,3,0.8,subjective
3,long,apple,size,food,4,0.08,subjective
3,blue,apple,color,food,5,0,subjective
3,old,fan,age,furniture,6,0.5,subjective
3,new,tomato,age,food,7,0.1,subjective
3,huge,banana,size,food,8,0.2,subjective
3,yellow,tomato,color,food,9,0.03,subjective
3,bad,couch,quality,furniture,10,0.86,subjective
3,purple,TV,color,furniture,11,0.09,subjective
3,big,couch,size,furniture,12,0.42,subjective
3,round,banana,shape,food,13,0.12,subjective
3,metal,apple,material,food,14,0.17,subjective
3,wooden,desk,material,furniture,15,0.03,subjective
3,green,desk,color,furniture,16,0.02,subjective
3,short,banana,size,food,17,0.27,subjective
3,smooth,fan,texture,furniture,18,0.24,subjective
3,fresh,cheese,age,food,19,0.16,subjective
3,tiny,tomato,size,food,20,0.29,subjective
3,small,couch,size,furniture,21,0.4,subjective
3,hard,apple,texture,food,22,0.18,subjective
3,brown,chair,color,furniture,23,0,subjective
3,plastic,chair,material,furniture,24,0,subjective
3,soft,couch,texture,furniture,25,0.34,subjective
3,rotten,carrot,age,food,26,0.21,subjective
3,square,carrot,shape,food,27,0.15,subjective
3,red,TV,color,furniture,28,0.15,subjective
4,hard,chair,texture,furniture,3,0.22,subjective
4,fresh,desk,age,furniture,4,0.77,subjective
4,metal,tomato,material,food,5,0,subjective
4,rotten,chair,age,furniture,6,0.58,subjective
4,good,chair,quality,furniture,7,1,subjective
4,round,couch,shape,furniture,8,0.16,subjective
4,blue,TV,color,furniture,9,0,subjective
4,tiny,carrot,size,food,10,0.34,subjective
4,small,couch,size,furniture,11,0.44,subjective
4,yellow,carrot,color,food,12,0.16,subjective
4,huge,couch,size,furniture,13,0.63,subjective
4,bad,tomato,quality,food,14,1,subjective
4,soft,chair,texture,furniture,15,0.5,subjective
4,long,banana,size,food,16,0.49,subjective
4,smooth,apple,texture,food,17,0.36,subjective
4,brown,carrot,color,food,18,0.22,subjective
4,new,cheese,age,food,19,1,subjective
4,green,tomato,color,food,20,0.5,subjective
4,square,tomato,shape,food,21,0.5,subjective
4,wooden,desk,material,furniture,22,0,subjective
4,old,tomato,age,food,23,1,subjective
4,red,couch,color,furniture,24,0.45,subjective
4,big,chair,size,furniture,25,0.39,subjective
4,short,fan,size,furniture,26,0.77,subjective
4,plastic,banana,material,food,27,0,subjective
4,purple,TV,color,furniture,28,0.56,subjective
5,blue,fan,color,furniture,3,0.1,inherent
5,square,tomato,shape,food,4,1,inherent
5,round,chair,shape,furniture,5,0.33,inherent
5,red,banana,color,food,6,1,inherent
5,long,carrot,size,food,7,0.69,inherent
5,plastic,banana,material,food,8,1,inherent
5,rotten,couch,age,furniture,9,1,inherent
5,short,fan,size,furniture,10,0.53,inherent
5,metal,cheese,material,food,11,1,inherent
5,yellow,carrot,color,food,12,1,inherent
5,purple,couch,color,furniture,13,1,inherent
5,big,carrot,size,food,14,0.6,inherent
5,smooth,carrot,texture,food,15,0.35,inherent
5,good,carrot,quality,food,16,0.02,inherent
5,small,cheese,size,food,17,0,inherent
5,wooden,fan,material,furniture,18,0.94,inherent
5,huge,banana,size,food,19,0.8,inherent
5,tiny,fan,size,furniture,20,0.72,inherent
5,bad,fan,quality,furniture,21,0.79,inherent
5,fresh,apple,age,food,22,0,inherent
5,brown,fan,color,furniture,23,0,inherent
5,new,TV,age,furniture,24,0,inherent
5,soft,TV,texture,furniture,25,1,inherent
5,old,chair,age,furniture,26,1,inherent
5,green,banana,color,food,27,0.62,inherent
5,hard,desk,texture,furniture,28,0.22,inherent
6,metal,tomato,material,food,3,0.06,inherent
6,old,tomato,age,food,4,0.75,inherent
6,wooden,banana,material,food,5,0.32,inherent
6,short,banana,size,food,6,0.89,inherent
6,small,apple,size,food,7,0.91,inherent
6,fresh,banana,age,food,8,0.99,inherent
6,long,fan,size,furniture,9,0.49,inherent
6,red,TV,color,furniture,10,0.21,inherent
6,soft,fan,texture,furniture,11,0.92,inherent
6,yellow,apple,color,food,12,0.97,inherent
6,good,carrot,quality,food,13,0.91,inherent
6,bad,desk,quality,furniture,14,0.95,inherent
6,round,fan,shape,furniture,15,0.75,inherent
6,new,apple,age,food,16,0.94,inherent
6,rotten,cheese,age,food,17,0.96,inherent
