"","workerid","class","predicate","slide_number","response","language"
"1",0,"size","small",3,0.07,"english"
"2",0,"quality","bad",4,0.03,"english"
"3",0,"size","big",5,0.08,"english"
"4",0,"texture","soft",6,0.13,"english"
"5",0,"size","long",7,0.32,"english"
"6",0,"size","huge",8,0.44,"english"
"7",0,"texture","hard",9,0,"english"
"8",0,"color","green",10,0,"english"
"9",0,"quality","good",11,0.65,"english"
"10",0,"shape","round",12,0,"english"
"11",0,"size","tiny",13,0.31,"english"
"12",0,"age","old",14,0.36,"english"
"13",0,"age","rotten",15,0,"english"
"14",0,"color","yellow",16,0,"english"
"15",0,"color","red",17,0,"english"
"16",0,"material","metal",18,0,"english"
"17",0,"age","fresh",19,0.45,"english"
"18",0,"size","short",20,0.17,"english"
"19",0,"color","purple",21,0,"english"
"20",0,"material","wooden",22,0,"english"
"21",0,"material","plastic",23,0,"english"
"22",0,"shape","square",24,0,"english"
"23",0,"texture","smooth",25,0.07,"english"
"24",0,"age","new",26,0.45,"english"
"25",0,"color","blue",27,0.04,"english"
"26",0,"color","brown",28,0.03,"english"
"27",1,"size","short",3,0.28,"english"
"28",1,"color","blue",4,0.02,"english"
"29",1,"color","red",5,0.02,"english"
"30",1,"size","small",6,0.54,"english"
"31",1,"material","wooden",7,0.02,"english"
"32",1,"color","green",8,0,"english"
"33",1,"material","metal",9,0.02,"english"
"34",1,"color","brown",10,0.04,"english"
"35",1,"quality","bad",11,0.74,"english"
"36",1,"age","new",12,0.5,"english"
"37",1,"material","plastic",13,0.03,"english"
"38",1,"size","tiny",14,0.72,"english"
"39",1,"age","fresh",15,0.62,"english"
"40",1,"texture","smooth",16,0.52,"english"
"41",1,"size","huge",17,0.67,"english"
"42",1,"texture","hard",18,0.39,"english"
"43",1,"shape","round",19,0.15,"english"
"44",1,"age","old",20,0.81,"english"
"45",1,"texture","soft",21,0.68,"english"
"46",1,"color","purple",22,0.05,"english"
"47",1,"size","big",23,0.76,"english"
"48",1,"shape","square",24,0.01,"english"
"49",1,"size","long",25,0.63,"english"
"50",1,"age","rotten",26,0.57,"english"
"51",1,"color","yellow",27,0.02,"english"
