predicate,class,subsective,subsectiveF
biggest,dimension,1,subsective
large,dimension,1,subsective
long,dimension,1,subsective
mini,dimension,1,subsective
narrow,dimension,1,subsective
open,dimension,1,subsective
thick,dimension,1,subsective
thin,dimension,1,subsective
civilized,human,1,subsective
creative,human,1,subsective
entrepreneurial,human,1,subsective
playful,human,1,subsective
professional,human,1,subsective
sad,human,1,subsective
selfish,human,1,subsective
strict,human,1,subsective
Brazilian,nationality,0,intersective
English,nationality,0,intersective
European,nationality,0,intersective
Hispanic,nationality,0,intersective
international,nationality,0,intersective
Japanese,nationality,0,intersective
national,nationality,0,intersective
Vietnamese,nationality,0,intersective
creamy,physical,1,subsective
curly,physical,1,subsective
frozen,physical,1,subsective
lacy,physical,1,subsective
smooth,physical,1,subsective
solid,physical,1,subsective
spicy,physical,1,subsective
sweet,physical,1,subsective
best,value,1,subsective
exciting,value,1,subsective
favorite,value,1,subsective
lavish,value,1,subsective
plain,value,1,subsective
pleasant,value,1,subsective
prestigious,value,1,subsective
strange,value,1,subsective
designated,X,,other
different,X,,other
individual,X,,other
last,X,,other
mixed,X,,other
potential,X,,other
token,X,,other
unique,X,,other
junior,age,1,subsective
new,age,1,subsective
old,age,1,subsective
old-time,age,1,subsective
senior,age,1,subsective
young,age,1,subsective
black,color,0,intersective
blonde,color,0,intersective
blue,color,0,intersective
green,color,0,intersective
purple,color,0,intersective
red,color,0,intersective
white,color,0,intersective
yellow,color,0,intersective
closest,location,1,subsective
internal,location,1,subsective
overhead,location,1,subsective
corduroy,material,0,intersective
crocheted,material,0,intersective
gold,material,0,intersective
wooden,material,0,intersective
circular,shape,0,intersective
square,shape,0,intersective
fast,speed,1,subsective
slow,speed,1,subsective
speedy,speed,1,subsective
current,temporal,1,subsective
daily,temporal,1,subsective
everyday,temporal,1,subsective
historical,temporal,1,subsective
